dataset,method,method_type,K,seed,select_time_s,ari_drop_means,nmi_drop_means,n_drops_correct,knn_acc,knn_acc_std,sum_fratio,mean_fratio,max_fratio
drop_data_full_cr,variance,filter,3,0,0.001,0.3637970209543045,0.5936300920654847,10,0.793161094224924,0.007466941335281604,19398.835572828746,6466.278524276248,7451.327362776412
drop_data_full_cr,variance,filter,5,0,0.001,0.3637970209543045,0.5936300920654847,10,0.9556231003039514,0.003452223918419597,26047.531199349756,5209.506239869951,7451.327362776412
drop_data_full_cr,variance,filter,7,0,0.001,0.3637970209543045,0.5936300920654847,10,0.9557750759878418,0.004335970400512809,33421.86967488956,4774.552810698508,7451.327362776412
drop_data_full_cr,variance,filter,10,0,0.001,0.3637970209543045,0.5936300920654847,10,0.9562310030395137,0.004150911940348844,49891.57179633304,4989.157179633304,7451.327362776412
drop_data_full_cr,pca_loading,filter,3,0,0.004,0.3637970209543045,0.5936300920654847,10,0.793161094224924,0.007466941335281604,19398.835572828746,6466.278524276248,7451.327362776412
drop_data_full_cr,pca_loading,filter,5,0,0.003,0.3637970209543045,0.5936300920654847,10,0.8633738601823708,0.007931907811975598,33127.31623021677,6625.463246043354,7451.327362776412
drop_data_full_cr,pca_loading,filter,7,0,0.003,0.3637970209543045,0.5936300920654847,10,0.9541033434650457,0.001836329175318336,39784.37664685757,5683.48237812251,7451.327362776412
drop_data_full_cr,pca_loading,filter,10,0,0.003,0.3637970209543045,0.5936300920654847,10,0.9583586626139817,0.002735562310030389,58760.443216876345,5876.044321687635,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,3,0,0.005,0.7750702905342081,0.8271423565886092,15,0.819452887537994,0.013783784004101183,8356.45592214644,2785.485307382147,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,3,1,0.002,0.7750702905342081,0.8271423565886092,15,0.8171732522796352,0.007978361549183369,8356.45592214644,2785.485307382147,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,3,2,0.004,0.7750702905342081,0.8271423565886092,15,0.8159574468085108,0.003577082764723349,8356.45592214644,2785.485307382147,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,3,3,0.002,0.7750702905342081,0.8271423565886092,15,0.8173252279635259,0.009473828191798634,8356.45592214644,2785.485307382147,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,3,4,0.002,0.7750702905342081,0.8271423565886092,15,0.8183890577507599,0.014409667253657818,8356.45592214644,2785.485307382147,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,5,0,0.002,0.7750702905342081,0.8271423565886092,15,0.8057750759878418,0.005492191793189223,8544.952031230123,1708.9904062460246,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,5,1,0.002,0.7750702905342081,0.8271423565886092,15,0.8022796352583587,0.013681188370731819,8544.952031230123,1708.9904062460246,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,5,2,0.002,0.7750702905342081,0.8271423565886092,15,0.8015197568389058,0.014105112036683434,8544.952031230123,1708.9904062460246,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,5,3,0.002,0.7750702905342081,0.8271423565886092,15,0.8033434650455927,0.008669277019423476,8544.952031230123,1708.9904062460246,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,5,4,0.002,0.7750702905342081,0.8271423565886092,15,0.8059270516717326,0.0076230615221790235,8544.952031230123,1708.9904062460246,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,7,0,0.003,0.7750702905342081,0.8271423565886092,15,0.7788753799392097,0.0039337930411990326,8844.329980902958,1263.4757115575653,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,7,1,0.002,0.7750702905342081,0.8271423565886092,15,0.7685410334346504,0.015315650683701072,8844.329980902958,1263.4757115575653,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,7,2,0.002,0.7750702905342081,0.8271423565886092,15,0.7729483282674772,0.007740323147870442,8844.329980902958,1263.4757115575653,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,7,3,0.002,0.7750702905342081,0.8271423565886092,15,0.7772036474164133,0.006010249219843502,8844.329980902958,1263.4757115575653,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,7,4,0.002,0.7750702905342081,0.8271423565886092,15,0.7711246200607903,0.012180829732227325,8844.329980902958,1263.4757115575653,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,10,0,0.002,0.7750702905342081,0.8271423565886092,15,0.7387537993920972,0.004910484626566391,9143.626997088842,914.3626997088843,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,10,1,0.003,0.7750702905342081,0.8271423565886092,15,0.7401215805471124,0.013542048273523089,9143.626997088842,914.3626997088843,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,10,2,0.004,0.7750702905342081,0.8271423565886092,15,0.7361702127659575,0.013605007183790306,9143.626997088842,914.3626997088843,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,10,3,0.003,0.7750702905342081,0.8271423565886092,15,0.7436170212765958,0.006857455424120665,9143.626997088842,914.3626997088843,7451.327362776412
drop_data_full_cr,sam_greedy,wrapper-unsup,10,4,0.003,0.7750702905342081,0.8271423565886092,15,0.7389057750759879,0.015323189026768954,9143.626997088842,914.3626997088843,7451.327362776412
drop_data_full_cr,spa,wrapper-unsup,3,0,0.012,0.3637970209543045,0.5936300920654847,10,0.9522796352583587,0.0047914537296153215,12712.371191330742,4237.457063776914,7451.327362776412
drop_data_full_cr,spa,wrapper-unsup,5,0,0.008,0.300087489063867,0.6072839124852141,11,0.9501519756838906,0.0031367427721200798,14095.040929678595,2819.0081859357188,7451.327362776412
drop_data_full_cr,spa,wrapper-unsup,7,0,0.012,0.3637970209543045,0.5936300920654847,10,0.954711246200608,0.003245312538611343,22666.050031244966,3238.0071473207095,7451.327362776412
drop_data_full_cr,spa,wrapper-unsup,10,0,0.017,0.2219820932386539,0.4715474696969276,10,0.9569908814589665,0.004747872143408303,23391.571694216964,2339.1571694216964,7451.327362776412
drop_data_full_cr,mcuve,wrapper-unsup,3,0,0.058,0.5876288659793815,0.7373795844927792,14,0.8617021276595744,0.004378376988111823,13192.36161500842,4397.453871669473,6417.820677057641
drop_data_full_cr,mcuve,wrapper-unsup,3,1,0.056,0.3252108716026242,0.5380939702920255,12,0.6343465045592704,0.009110939080438805,10279.074293372018,3426.3580977906727,3519.1620660800286
drop_data_full_cr,mcuve,wrapper-unsup,3,2,0.058,0.5876288659793815,0.7373795844927792,14,0.8562310030395137,0.005734942937420436,13140.9512627455,4380.317087581833,6366.410324794721
drop_data_full_cr,mcuve,wrapper-unsup,3,3,0.063,0.5876288659793815,0.7373795844927792,14,0.8338905775075988,0.010030395136778135,18492.202618923668,6164.0675396412225,7451.327362776412
drop_data_full_cr,mcuve,wrapper-unsup,3,4,0.055,0.3637970209543045,0.5936300920654847,10,0.8892097264437689,0.010588245257355846,15964.112640702991,5321.370880234331,6742.097648408268
drop_data_full_cr,mcuve,wrapper-unsup,5,0,0.057,0.3637970209543045,0.5936300920654847,10,0.9300911854103344,0.002883535860335941,26567.9431369554,5313.58862739108,6742.097648408268
drop_data_full_cr,mcuve,wrapper-unsup,5,1,0.053,0.3252108716026242,0.5380939702920255,12,0.6638297872340425,0.014692205518063174,16707.604595981295,3341.520919196259,3519.1620660800286
drop_data_full_cr,mcuve,wrapper-unsup,5,2,0.055,0.43767572633552015,0.5860932672739728,13,0.8658054711246201,0.003647416413373857,19708.925882078835,3941.7851764157667,6366.410324794721
drop_data_full_cr,mcuve,wrapper-unsup,5,3,0.055,0.5876288659793815,0.7373795844927792,14,0.897112462006079,0.011338241613127327,28015.228670646764,5603.045734129353,7451.327362776412
drop_data_full_cr,mcuve,wrapper-unsup,5,4,0.055,0.3637970209543045,0.5936300920654847,10,0.920820668693009,0.008575523391894175,29314.40873525665,5862.8817470513295,6742.097648408268
drop_data_full_cr,mcuve,wrapper-unsup,7,0,0.053,0.3637970209543045,0.5936300920654847,10,0.9361702127659575,0.0037226287884242768,39487.406760567435,5641.058108652491,6742.097648408268
drop_data_full_cr,mcuve,wrapper-unsup,7,1,0.061,0.43767572633552015,0.5860932672739728,13,0.8603343465045592,0.008371087753143111,25915.01442870886,3702.14491838698,6417.820677057641
drop_data_full_cr,mcuve,wrapper-unsup,7,2,0.059,0.43767572633552015,0.5860932672739728,13,0.8881458966565349,0.0031293708635218944,30843.211622483355,4406.1730889261935,6459.820809051988
drop_data_full_cr,mcuve,wrapper-unsup,7,3,0.059,0.5876288659793815,0.7373795844927792,14,0.9069908814589664,0.008790975601203387,41832.27514366052,5976.039306237217,7451.327362776412
drop_data_full_cr,mcuve,wrapper-unsup,7,4,0.052,0.3637970209543045,0.5936300920654847,10,0.9337386018237084,0.004415148646302102,35897.01206524877,5128.144580749824,6742.097648408268
drop_data_full_cr,mcuve,wrapper-unsup,10,0,0.054,0.3637970209543045,0.5936300920654847,10,0.9316109422492401,0.006302869712257665,57642.31607923916,5764.231607923915,6742.097648408268
drop_data_full_cr,mcuve,wrapper-unsup,10,1,0.052,0.43767572633552015,0.5860932672739728,13,0.9151975683890579,0.009522462126334681,45035.809269432386,4503.580926943238,6540.424713176128
