method,K,mean,std,n,mean_time
ae_perturb,3,0.9376899696048634,,1,0.002
ae_perturb,5,0.946808510638298,,1,0.001
ae_perturb,7,0.9569908814589667,,1,0.001
ae_perturb,10,0.9635258358662615,,1,0.001
bsnet_fc,3,0.7048024316109422,0.05894546907428294,5,2.5192
bsnet_fc,5,0.8192401215805472,0.04387554049514595,5,2.3594
bsnet_fc,7,0.902887537993921,0.02931062943451401,5,2.3638000000000003
bsnet_fc,10,0.9404255319148935,0.008310166027046983,5,2.3708
issc,3,0.8451671732522795,0.06231016013034167,5,0.4246
issc,5,0.9313069908814589,0.0458242600174356,5,0.42560000000000003
issc,7,0.9279635258358663,0.044968241221591085,5,0.43220000000000003
issc,10,0.9458966565349544,0.015562117091319223,5,0.4394
mcuve,3,0.8150759878419453,0.10293284012063188,5,0.05800000000000001
mcuve,5,0.8555319148936171,0.11000670411124237,5,0.05500000000000001
mcuve,7,0.9050759878419452,0.03193941741237127,5,0.056799999999999996
mcuve,10,0.9169604863221885,0.01525013704557191,5,0.056400000000000006
pca_loading,3,0.793161094224924,,1,0.004
pca_loading,5,0.8633738601823708,,1,0.003
pca_loading,7,0.9541033434650457,,1,0.003
pca_loading,10,0.9583586626139817,,1,0.003
random,3,0.7454711246200608,0.08464277494033086,5,0.0
random,5,0.80419452887538,0.09932960259779662,5,0.0
random,7,0.8469908814589665,0.0775669062087305,5,0.0
random,10,0.8861094224924013,0.015086447861657514,5,0.0
sam_greedy,3,0.8176595744680851,0.0013222757893103661,5,0.003
sam_greedy,5,0.8037689969604862,0.002008725343072891,5,0.002
sam_greedy,7,0.7737386018237082,0.0042680551916797855,5,0.0021999999999999997
sam_greedy,10,0.7395136778115502,0.0027079832342257635,5,0.003
spa,3,0.9522796352583587,,1,0.012
spa,5,0.9501519756838906,,1,0.008
spa,7,0.954711246200608,,1,0.012
spa,10,0.9569908814589665,,1,0.017
variance,3,0.793161094224924,,1,0.001
variance,5,0.9556231003039514,,1,0.001
variance,7,0.9557750759878418,,1,0.001
variance,10,0.9562310030395137,,1,0.001
