method,K,mean,std,n,mean_time
ae_perturb,5,0.7423333333333334,,1,0.001
ae_perturb,10,0.7830000000000001,,1,0.0
ae_perturb,20,0.874,,1,0.0
ae_perturb,30,0.907,,1,0.0
bsnet_fc,5,0.8923333333333334,0.032526911934581335,2,2.446
bsnet_fc,10,0.9393333333333334,0.01744196726926829,2,1.0785
bsnet_fc,20,0.9461666666666666,0.0068353655514699916,2,1.0995
bsnet_fc,30,0.9406666666666665,0.00801387685344748,2,1.0939999999999999
issc,5,0.8216666666666668,0.01555634918610402,2,0.2
issc,10,0.8925,0.020034692133618838,2,0.1955
issc,20,0.9133333333333333,0.009428090415820812,2,0.203
issc,30,0.9363333333333334,0.016027753706895038,2,0.215
mcuve,5,0.7846666666666666,0.002357022603955213,2,0.015
mcuve,10,0.8350000000000001,0.00047140452079097976,2,0.015
mcuve,20,0.8818333333333332,0.0040069384267239164,2,0.014499999999999999
mcuve,30,0.9116666666666667,0.00047140452079113675,2,0.015
pca_loading,5,0.749,,1,0.003
pca_loading,10,0.8643333333333333,,1,0.002
pca_loading,20,0.8913333333333332,,1,0.002
pca_loading,30,0.9193333333333333,,1,0.002
random,5,0.7708333333333333,0.09263098833543784,2,0.0
random,10,0.9253333333333333,0.015084944665313196,2,0.0
random,20,0.9248333333333334,0.025220141862320244,2,0.0
random,30,0.9263333333333332,0.016970562748477157,2,0.0
sam_greedy,5,0.6721666666666667,0.004949747468305759,2,0.0015
sam_greedy,10,0.7328333333333333,0.004478342947514779,2,0.001
sam_greedy,20,0.8843333333333334,0.0,2,0.002
sam_greedy,30,0.915,0.0,2,0.0035
spa,5,0.8773333333333333,,1,0.008
spa,10,0.8869999999999999,,1,0.016
spa,20,0.9053333333333334,,1,0.033
spa,30,0.9113333333333333,,1,0.039
sparse_lasso,5,0.9451666666666666,0.0030641293851416825,2,0.462
sparse_lasso,10,0.9650000000000001,0.0004714045207910975,2,0.4575
sparse_lasso,20,0.9673333333333332,0.0,2,0.4685
sparse_lasso,30,0.9765,0.0007071067811866267,2,0.47
variance,5,0.749,,1,0.0
variance,10,0.8643333333333333,,1,0.0
variance,20,0.8913333333333332,,1,0.0
variance,30,0.9226666666666666,,1,0.0
