method,K,mean,std,n,mean_time
ae_perturb,5,0.9342500000000001,,1,0.002
ae_perturb,13,0.97075,,1,0.0
ae_perturb,30,0.977,,1,0.002
ae_perturb,80,0.98525,,1,0.001
bsnet_fc,5,0.9338750000000001,0.01856155300614679,2,1.955
bsnet_fc,13,0.9721249999999999,0.0058336309447890415,2,1.4769999999999999
bsnet_fc,30,0.975875,0.0012374368670765182,2,1.5510000000000002
bsnet_fc,80,0.97425,0.0031819805153395844,2,1.5594999999999999
issc,5,0.678875,0.14159813293260617,2,0.303
issc,13,0.967375,0.010076271631908213,2,0.296
issc,30,0.978375,0.0037123106012293973,2,0.3205
issc,80,0.9712500000000001,0.007778174593051951,2,0.3435
mcuve,5,0.5583750000000001,0.003005203820042771,2,0.0215
mcuve,13,0.74325,0.16051323932934622,2,0.021
mcuve,30,0.9375,0.0,2,0.0195
mcuve,80,0.9818749999999999,0.0001767766952966959,2,0.0205
pca_loading,5,0.54675,,1,0.004
pca_loading,13,0.60625,,1,0.002
pca_loading,30,0.96975,,1,0.002
pca_loading,80,0.9870000000000001,,1,0.002
random,5,0.9336249999999999,0.011490485194281506,2,0.0
random,13,0.9654999999999999,0.0007071067811866267,2,0.0
random,30,0.9576250000000001,0.005126524163602455,2,0.0
random,80,0.9734999999999999,0.0014142135623730963,2,0.0
sam_greedy,5,0.685,0.001767766952966331,2,0.002
sam_greedy,13,0.6505,0.003889087296526054,2,0.002
sam_greedy,30,0.853375,0.00548007755419565,2,0.004
sam_greedy,80,0.9477500000000001,0.0007071067811865089,2,0.0185
spa,5,0.9564999999999999,,1,0.014
spa,13,0.9722500000000001,,1,0.028
spa,30,0.9722500000000001,,1,0.06
spa,80,0.985,,1,0.174
sparse_lasso,5,0.939125,0.00017677669529657817,2,4.698
sparse_lasso,13,0.9845,0.00035355339059323483,2,4.5765
sparse_lasso,30,0.987625,0.0008838834764833227,2,4.5285
sparse_lasso,80,0.9850000000000001,0.0003535533905933526,2,8.219999999999999
variance,5,0.54675,,1,0.002
variance,13,0.60625,,1,0.001
variance,30,0.96975,,1,0.001
variance,80,0.9867500000000001,,1,0.001
