dataset,method,method_type,K,seed,knn_acc,best_config,select_time_s
pepsin,ae_perturb,ours,5,0,0.7817034887164603,bands_5_pca_dim_1_perc_mag_high_non,17.823
pepsin,ae_perturb,ours,10,0,0.7851685127050879,bands_10_pca_dim_3_abso_mag_medium_max,36.514
pepsin,ae_perturb,ours,15,0,0.7944974234437008,bands_15_pca_dim_3_perc_mag_medium_non,66.412
pepsin,ae_perturb,ours,20,0,0.8241722442693834,bands_20_var_dim_3_abso_mag_medium_non,15.482
pepsin,ae_perturb,ours,30,0,0.8314280637327489,bands_30_var_dim_1_perc_mag_medium_non,15.867
pepsin,ae_perturb,ours,50,0,0.8236391636557484,bands_50_pca_dim_3_perc_mag_medium_non,16.996
pepsin,variance,filter,5,0,0.6057868862169046,,0.01
pepsin,variance,filter,10,0,0.7014452407747438,,0.005
pepsin,variance,filter,15,0,0.7257596398744299,,0.004
pepsin,variance,filter,20,0,0.7292246638630575,,0.004
pepsin,variance,filter,30,0,0.7533613694248652,,0.005
pepsin,variance,filter,50,0,0.7672214653793757,,0.005
pepsin,pca_loading,filter,5,0,0.6057868862169046,,0.007
pepsin,pca_loading,filter,10,0,0.7014452407747438,,0.005
pepsin,pca_loading,filter,15,0,0.7309127524729018,,0.005
pepsin,pca_loading,filter,20,0,0.7292246638630575,,0.005
pepsin,pca_loading,filter,30,0,0.7494817271811882,,0.005
pepsin,pca_loading,filter,50,0,0.7666883847657406,,0.005
pepsin,sam_greedy,wrapper-unsup,5,0,0.657851092815258,,0.014
pepsin,sam_greedy,wrapper-unsup,5,1,0.657851092815258,,0.014
pepsin,sam_greedy,wrapper-unsup,10,0,0.7588698690990937,,0.018
pepsin,sam_greedy,wrapper-unsup,10,1,0.7588698690990937,,0.018
pepsin,sam_greedy,wrapper-unsup,15,0,0.7756915240182432,,0.024
pepsin,sam_greedy,wrapper-unsup,15,1,0.7756915240182432,,0.024
pepsin,sam_greedy,wrapper-unsup,20,0,0.7951489664159214,,0.032
pepsin,sam_greedy,wrapper-unsup,20,1,0.7951489664159214,,0.03
pepsin,sam_greedy,wrapper-unsup,30,0,0.82026298643606,,0.047
