dataset,method,method_type,K,seed,select_time_s,knn_acc_mean,knn_acc_std
pepsin,variance,filter,5,0,0.0,0.749,0.014590712418826186
pepsin,variance,filter,10,0,0.0,0.8643333333333333,0.005436502143433383
pepsin,variance,filter,20,0,0.0,0.8913333333333332,0.009741092797468293
pepsin,variance,filter,30,0,0.0,0.9226666666666666,0.009043106644167041
pepsin,pca_loading,filter,5,0,0.003,0.749,0.014590712418826186
pepsin,pca_loading,filter,10,0,0.002,0.8643333333333333,0.005436502143433383
pepsin,pca_loading,filter,20,0,0.002,0.8913333333333332,0.009741092797468293
pepsin,pca_loading,filter,30,0,0.002,0.9193333333333333,0.00793025150224686
pepsin,sam_greedy,wrapper-unsup,5,0,0.002,0.6756666666666666,0.013848385385227344
pepsin,sam_greedy,wrapper-unsup,5,1,0.001,0.6686666666666667,0.01018713785995744
pepsin,sam_greedy,wrapper-unsup,10,0,0.001,0.7296666666666667,0.010718623460542365
pepsin,sam_greedy,wrapper-unsup,10,1,0.001,0.736,0.007717224601860132
pepsin,sam_greedy,wrapper-unsup,20,0,0.002,0.8843333333333334,0.01289271973720915
pepsin,sam_greedy,wrapper-unsup,20,1,0.002,0.8843333333333334,0.006377042156569672
pepsin,sam_greedy,wrapper-unsup,30,0,0.004,0.915,0.008944271909999163
pepsin,sam_greedy,wrapper-unsup,30,1,0.003,0.915,0.010852547064066473
pepsin,spa,wrapper-unsup,5,0,0.008,0.8773333333333333,0.009345230512584114
pepsin,spa,wrapper-unsup,10,0,0.016,0.8869999999999999,0.01082178872049861
pepsin,spa,wrapper-unsup,20,0,0.033,0.9053333333333334,0.009854496999396322
pepsin,spa,wrapper-unsup,30,0,0.039,0.9113333333333333,0.00812403840463597
pepsin,mcuve,wrapper-unsup,5,0,0.016,0.7829999999999999,0.005099019513592773
pepsin,mcuve,wrapper-unsup,5,1,0.014,0.7863333333333333,0.011897712198383153
pepsin,mcuve,wrapper-unsup,10,0,0.015,0.8346666666666668,0.013840359661351132
pepsin,mcuve,wrapper-unsup,10,1,0.015,0.8353333333333334,0.011323525167642026
pepsin,mcuve,wrapper-unsup,20,0,0.014,0.8789999999999999,0.013106402167558352
pepsin,mcuve,wrapper-unsup,20,1,0.015,0.8846666666666667,0.00871779788708134
pepsin,mcuve,wrapper-unsup,30,0,0.015,0.9113333333333333,0.010561986345169925
pepsin,mcuve,wrapper-unsup,30,1,0.015,0.9120000000000001,0.010821788720498611
pepsin,issc,clustering-unsup,5,0,0.209,0.8326666666666667,0.004898979485566348
pepsin,issc,clustering-unsup,5,1,0.191,0.8106666666666668,0.004294699575575031
pepsin,issc,clustering-unsup,10,0,0.195,0.8783333333333333,0.00802772971919486
pepsin,issc,clustering-unsup,10,1,0.196,0.9066666666666666,0.01563471919941142
pepsin,issc,clustering-unsup,20,0,0.198,0.9066666666666666,0.009831920802501752
pepsin,issc,clustering-unsup,20,1,0.208,0.9200000000000002,0.011303883305208795
pepsin,issc,clustering-unsup,30,0,0.215,0.925,0.010434983894999033
pepsin,issc,clustering-unsup,30,1,0.215,0.9476666666666667,0.007788880963698594
pepsin,bsnet_fc,deep-unsup,5,0,3.773,0.9153333333333334,0.01050925518028964
pepsin,bsnet_fc,deep-unsup,5,1,1.119,0.8693333333333333,0.011382247385975942
pepsin,bsnet_fc,deep-unsup,10,0,1.078,0.9516666666666668,0.00278886675511357
pepsin,bsnet_fc,deep-unsup,10,1,1.079,0.9269999999999999,0.004268749491621892
pepsin,bsnet_fc,deep-unsup,20,0,1.105,0.951,0.003431876713662348
pepsin,bsnet_fc,deep-unsup,20,1,1.094,0.9413333333333332,0.007483314773547858
pepsin,bsnet_fc,deep-unsup,30,0,1.093,0.9463333333333332,0.008844332774281049
pepsin,bsnet_fc,deep-unsup,30,1,1.095,0.9349999999999999,0.009189365834726789
pepsin,sparse_lasso,embedded-sup,5,0,0.461,0.9473333333333332,0.0024944382578493134
pepsin,sparse_lasso,embedded-sup,5,1,0.463,0.943,0.004136557881996936
pepsin,sparse_lasso,embedded-sup,10,0,0.452,0.9653333333333334,0.0050990195135927905
pepsin,sparse_lasso,embedded-sup,10,1,0.463,0.9646666666666667,0.006616477747093075
pepsin,sparse_lasso,embedded-sup,20,0,0.459,0.9673333333333332,0.007930251502246874
pepsin,sparse_lasso,embedded-sup,20,1,0.478,0.9673333333333332,0.006548960901462823
pepsin,sparse_lasso,embedded-sup,30,0,0.465,0.976,0.005734883511361776
pepsin,sparse_lasso,embedded-sup,30,1,0.475,0.9770000000000001,0.005906681715556449
pepsin,random,baseline,5,0,0.0,0.7053333333333333,0.0073333333333333245
pepsin,random,baseline,5,1,0.0,0.8363333333333334,0.013224556283251582
pepsin,random,baseline,10,0,0.0,0.9146666666666666,0.012083045973594596
pepsin,random,baseline,10,1,0.0,0.9360000000000002,0.009165151389911674
pepsin,random,baseline,20,0,0.0,0.9426666666666668,0.007644896627453129
pepsin,random,baseline,20,1,0.0,0.907,0.011897712198383155
pepsin,random,baseline,30,0,0.0,0.9143333333333332,0.007859884081701053
pepsin,random,baseline,30,1,0.0,0.9383333333333332,0.005055250296034359
pepsin,ae_perturb,ours,5,0,0.001,0.7423333333333334,0.011085526098877257
pepsin,ae_perturb,ours,10,0,0.0,0.7830000000000001,0.00933333333333332
pepsin,ae_perturb,ours,20,0,0.0,0.874,0.012587471725666122
pepsin,ae_perturb,ours,30,0,0.0,0.907,0.008906926143924968
